ClassID,Price,RankLimit,BuyLimit,ClassName,ShopType,ItemName,ResetType,ResetProp
308,50000,4,1,product_ep13_f_siauliai_3_8,REPUTATION_ep13_f_siauliai_3,Goddess_card_EP13_Austeja,NO_RESET,product_ep13_f_siauliai_3_8
309,60,4,32767,product_ep13_f_siauliai_3_9,REPUTATION_ep13_f_siauliai_3,dalia_card_reinforce_misc_4,,product_ep13_f_siauliai_3_9
310,20,4,32767,product_ep13_f_siauliai_3_10,REPUTATION_ep13_f_siauliai_3,R_HPUP_Redapple,,product_ep13_f_siauliai_3_10
311,2500,5,1,product_ep13_f_siauliai_3_11,REPUTATION_ep13_f_siauliai_3,EP13_reputation_costume_5,,product_ep13_f_siauliai_3_11
312,2500,5,1,product_ep13_f_siauliai_3_12,REPUTATION_ep13_f_siauliai_3,EP13_reputation_costume_6,,product_ep13_f_siauliai_3_12
313,1500,5,1,product_ep13_f_siauliai_3_13,REPUTATION_ep13_f_siauliai_3,EP13_reputation_hairacc_1,,product_ep13_f_siauliai_3_13
401,190,2,32767,product_ep13_f_siauliai_4_1,REPUTATION_ep13_f_siauliai_4,austeja_card_reinforce_misc_1,,product_ep13_f_siauliai_4_1
402,60,2,32767,product_ep13_f_siauliai_4_2,REPUTATION_ep13_f_siauliai_4,saule_card_reinforce_misc_2,,product_ep13_f_siauliai_4_2
403,30,2,32767,product_ep13_f_siauliai_4_3,REPUTATION_ep13_f_siauliai_4,God_Potion_DEF,,product_ep13_f_siauliai_4_3
404,660,3,3,product_ep13_f_siauliai_4_4,REPUTATION_ep13_f_siauliai_4,Goddess_card_Reinforce,WEEK,product_ep13_f_siauliai_4_4
405,370,3,32767,product_ep13_f_siauliai_4_5,REPUTATION_ep13_f_siauliai_4,goddess_reinforce_misc,,product_ep13_f_siauliai_4_5
406,60,3,32767,product_ep13_f_siauliai_4_6,REPUTATION_ep13_f_siauliai_4,lada_card_reinforce_misc_3,,product_ep13_f_siauliai_4_6
407,100,3,32767,product_ep13_f_siauliai_4_7,REPUTATION_ep13_f_siauliai_4,R_Potion_MIX_HIGH_DMG_UP,,product_ep13_f_siauliai_4_7
408,50000,4,1,product_ep13_f_siauliai_4_8,REPUTATION_ep13_f_siauliai_4,Goddess_card_EP13_Dalia,NO_RESET,product_ep13_f_siauliai_4_8
409,60,4,32767,product_ep13_f_siauliai_4_9,REPUTATION_ep13_f_siauliai_4,vakarine_card_reinforce_misc_4,,product_ep13_f_siauliai_4_9
410,20,4,32767,product_ep13_f_siauliai_4_10,REPUTATION_ep13_f_siauliai_4,R_SPUP_Blueapple,,product_ep13_f_siauliai_4_10
411,2500,5,1,product_ep13_f_siauliai_4_11,REPUTATION_ep13_f_siauliai_4,EP13_reputation_costume_7,,product_ep13_f_siauliai_4_11
412,2500,5,1,product_ep13_f_siauliai_4_12,REPUTATION_ep13_f_siauliai_4,EP13_reputation_costume_8,,product_ep13_f_siauliai_4_12
413,1500,5,1,product_ep13_f_siauliai_4_13,REPUTATION_ep13_f_siauliai_4,EP13_reputation_hairacc_2,,product_ep13_f_siauliai_4_13
501,190,2,32767,product_ep13_f_siauliai_5_1,REPUTATION_ep13_f_siauliai_5,dalia_card_reinforce_misc_1,,product_ep13_f_siauliai_5_1
502,60,2,32767,product_ep13_f_siauliai_5_2,REPUTATION_ep13_f_siauliai_5,austeja_card_reinforce_misc_2,,product_ep13_f_siauliai_5_2
503,150,2,32767,product_ep13_f_siauliai_5_3,REPUTATION_ep13_f_siauliai_5,R_Ancient_boostToken_150,,product_ep13_f_siauliai_5_3
504,660,3,3,product_ep13_f_siauliai_5_4,REPUTATION_ep13_f_siauliai_5,Goddess_card_Reinforce,WEEK,product_ep13_f_siauliai_5_4
505,370,3,32767,product_ep13_f_siauliai_5_5,REPUTATION_ep13_f_siauliai_5,goddess_reinforce_misc,,product_ep13_f_siauliai_5_5
506,60,3,32767,product_ep13_f_siauliai_5_6,REPUTATION_ep13_f_siauliai_5,saule_card_reinforce_misc_3,,product_ep13_f_siauliai_5_6
507,100,3,32767,product_ep13_f_siauliai_5_7,REPUTATION_ep13_f_siauliai_5,R_Potion_Plant_HIGH_DMG_UP,,product_ep13_f_siauliai_5_7
508,50000,4,1,product_ep13_f_siauliai_5_8,REPUTATION_ep13_f_siauliai_5,Goddess_card_EP13_Vakarine,NO_RESET,product_ep13_f_siauliai_5_8
509,60,4,32767,product_ep13_f_siauliai_5_9,REPUTATION_ep13_f_siauliai_5,lada_card_reinforce_misc_4,,product_ep13_f_siauliai_5_9
510,500,4,1,product_ep13_f_siauliai_5_10,REPUTATION_ep13_f_siauliai_5,R_Ancient_boostToken_200,WEEK,product_ep13_f_siauliai_5_10
511,2500,5,1,product_ep13_f_siauliai_5_11,REPUTATION_ep13_f_siauliai_5,EP13_reputation_costume_9,,product_ep13_f_siauliai_5_11
512,2500,5,1,product_ep13_f_siauliai_5_12,REPUTATION_ep13_f_siauliai_5,EP13_reputation_costume_10,,product_ep13_f_siauliai_5_12
513,200,5,32767,product_ep13_f_siauliai_5_13,REPUTATION_ep13_f_siauliai_5,randombox_ep13reputation_winebar,,product_ep13_f_siauliai_5_13
514,500,5,1,product_ep13_f_siauliai_5_14,REPUTATION_ep13_f_siauliai_5,housing_winebar_bg_unlock,NO_RESET,product_ep13_f_siauliai_5_14
