ClassID,ClassName,ExchangeGroup,ExchangeItem,MaterialItemInfo
106,DisnaiExchange_6,SavinoseDisnai,EP12_FIELD_MACE,ExchangeWeapon_Book_440/1;
107,DisnaiExchange_7,SavinoseDisnai,EP12_FIELD_THMACE,ExchangeWeapon_Book_440/1;
108,DisnaiExchange_8,SavinoseDisnai,EP12_FIELD_SHIELD,ExchangeWeapon_Book_440/1;
109,DisnaiExchange_9,SavinoseDisnai,EP12_FIELD_SPEAR,ExchangeWeapon_Book_440/1;
110,DisnaiExchange_10,SavinoseDisnai,EP12_FIELD_THSPEAR,ExchangeWeapon_Book_440/1;
111,DisnaiExchange_11,SavinoseDisnai,EP12_FIELD_DAGGER,ExchangeWeapon_Book_440/1;
112,DisnaiExchange_12,SavinoseDisnai,EP12_FIELD_THSTAFF,ExchangeWeapon_Book_440/1;
113,DisnaiExchange_13,SavinoseDisnai,EP12_FIELD_PISTOL,ExchangeWeapon_Book_440/1;
114,DisnaiExchange_14,SavinoseDisnai,EP12_FIELD_RAPIER,ExchangeWeapon_Book_440/1;
115,DisnaiExchange_15,SavinoseDisnai,EP12_FIELD_CANNON,ExchangeWeapon_Book_440/1;
116,DisnaiExchange_16,SavinoseDisnai,EP12_FIELD_MUSKET,ExchangeWeapon_Book_440/1;
1001,Luciferi_Exchange_1,Luciferi_Neck,EP12_NECK06_HIGH_001,ExchangeACC_Book_450/2;
1002,Luciferi_Exchange_2,Luciferi_Neck,EP12_NECK06_HIGH_002,ExchangeACC_Book_450/2;
1003,Luciferi_Exchange_3,Luciferi_Neck,EP12_NECK06_HIGH_003,ExchangeACC_Book_450/2;
1004,Luciferi_Exchange_4,Luciferi_Neck,EP12_NECK06_HIGH_004,ExchangeACC_Book_450/2;
1005,Luciferi_Exchange_5,Luciferi_Neck,EP12_NECK06_HIGH_005,ExchangeACC_Book_450/2;
1006,Luciferi_Exchange_6,Luciferi_Neck,EP12_NECK06_HIGH_006,ExchangeACC_Book_450/2;
1007,Luciferi_Exchange_7,Luciferi_Ring,EP12_BRC06_HIGH_001,ExchangeACC_Book_450/1;
1008,Luciferi_Exchange_8,Luciferi_Ring,EP12_BRC06_HIGH_002,ExchangeACC_Book_450/1;
1009,Luciferi_Exchange_9,Luciferi_Ring,EP12_BRC06_HIGH_003,ExchangeACC_Book_450/1;
1010,Luciferi_Exchange_10,Luciferi_Ring,EP12_BRC06_HIGH_004,ExchangeACC_Book_450/1;
1011,Luciferi_Exchange_11,Luciferi_Ring,EP12_BRC06_HIGH_005,ExchangeACC_Book_450/1;
1012,Luciferi_Exchange_12,Luciferi_Ring,EP12_BRC06_HIGH_006,ExchangeACC_Book_450/1;
