ClassID,Circle_1,Circle_2,Circle_3,Circle_4,Circle_5,Circle_6,Circle_7,Circle_8
51,739.5604,825,881.15186,916.40625,941.0714,958.4687,970.9797,18.456884
52,748.3516,837.35297,895.7068,932.34375,957.9762,976.05566,989.0573,18.426626
53,756.9231,849.55884,910.15704,948.2031,974.8214,993.5963,1007.09796,18.39637
54,765.2747,861.6177,924.5026,963.9844,991.6071,1011.0905,1025.1017,18.366112
55,773.4066,873.5294,938.74347,979.6875,1008.3333,1028.5383,1043.0684,18.335855
56,781.31866,885.2941,952.8796,995.3125,1025,1045.9397,1060.9982,18.305597
57,789.011,896.91174,966.911,1010.8594,1041.6072,1063.2947,1078.891,18.275341
58,796.4835,908.3823,980.8377,1026.3281,1058.1548,1080.6033,1096.7468,18.245083
59,803.73627,919.7059,994.65967,1041.7188,1074.6428,1097.8655,1114.5657,18.214827
60,810.7692,930.8823,1008.37695,1057.0312,1091.0714,1115.0812,1132.3475,18.184568
61,817.5824,941.91174,1021.9895,1072.2656,1107.4404,1132.2506,1150.0924,18.154312
62,824.17584,952.7941,1035.4974,1087.4219,1123.75,1149.3735,1167.8004,18.124054
63,830.54944,963.5294,1048.9005,1102.5,1140,1166.4501,1185.4713,18.093798
64,836.7033,974.1177,1062.199,1117.5,1156.1904,1183.4802,1203.1053,18.06354
65,842.6374,984.55884,1075.3927,1132.4219,1172.3214,1200.464,1220.7024,18.033283
66,848.3516,994.85297,1088.4817,1147.2656,1188.3928,1217.4014,1238.2625,18.003025
67,853.8461,1005,1101.466,1162.0312,1204.4048,1234.2924,1255.7855,17.972769
68,859.12085,1015,1114.3456,1176.7188,1220.3572,1251.1368,1273.2717,17.94251
69,864.17584,1024.8529,1127.1204,1191.3281,1236.25,1267.935,1290.721,17.912254
70,869.011,1034.5588,1139.7905,1205.8594,1252.0834,1284.6868,1308.133,17.881996
71,873.6264,1044.1177,1152.3561,1220.3125,1267.8572,1301.3921,1325.5083,17.85174
72,878.022,1053.5294,1164.8168,1234.6875,1283.5714,1318.051,1342.8466,17.821482
73,882.1978,1062.7941,1177.1727,1248.9844,1299.2262,1334.6636,1360.1478,17.791225
74,886.1539,1071.9117,1189.4241,1263.2031,1314.8214,1351.2297,1377.4122,17.76097
75,889.89014,1080.8823,1201.5707,1277.3438,1330.3572,1367.7494,1394.6395,17.730711
76,893.4066,1089.7059,1213.6125,1291.4062,1345.8334,1384.2228,1411.83,17.700455
77,896.7033,1098.3823,1225.5497,1305.3906,1361.25,1400.6497,1428.9834,17.670197
78,899.7802,1106.9117,1237.3822,1319.2969,1376.6072,1417.0302,1446.0999,17.63994
79,902.6374,1115.2941,1249.11,1333.125,1391.9048,1433.3643,1463.1793,17.609682
80,905.2747,1123.5294,1260.733,1346.875,1407.1428,1449.652,1480.2218,17.579426
81,907.6923,1131.6177,1272.2513,1360.5469,1422.3214,1465.8933,1497.2274,17.549168
82,909.89014,1139.5588,1283.6649,1374.1406,1437.4404,1482.0881,1514.1959,17.518911
83,911.8681,1147.3529,1294.9739,1387.6562,1452.5,1498.2367,1531.1276,17.488653
84,913.6264,1155,1306.178,1401.0938,1467.5,1514.3387,1548.0222,17.458397
85,915.16486,1162.5,1317.2775,1414.4531,1482.4404,1530.3944,1564.8799,17.428139
86,916.4835,1169.8529,1328.2722,1427.7344,1497.3214,1546.4037,1581.7006,17.397882
87,917.5824,1177.0588,1339.1624,1440.9375,1512.1428,1562.3666,1598.4843,17.367624
88,918.46155,1184.1177,1349.9476,1454.0625,1526.9048,1578.2831,1615.2311,17.337368
89,919.12085,1191.0294,1360.6283,1467.1094,1541.6072,1594.1531,1631.9408,17.30711
90,919.5604,1197.7941,1371.2042,1480.0781,1556.25,1609.9768,1648.6136,17.276854
91,919.7802,1204.4117,1381.6754,1492.9688,1570.8334,1625.754,1665.2495,17.246595
92,919.7802,1210.8823,1392.0419,1505.7812,1585.3572,1641.4849,1681.8484,17.21634
93,919.7802,1217.2059,1402.3037,1518.5156,1599.8214,1657.1694,1698.4104,17.18608
94,919.7802,1223.3823,1412.4607,1531.1719,1614.2262,1672.8074,1714.9353,17.155825
95,919.7802,1229.4117,1422.5131,1543.75,1628.5714,1688.399,1731.4233,17.125566
96,919.7802,1235.2941,1432.4607,1556.25,1642.8572,1703.9443,1747.8743,17.09531
97,919.7802,1241.0294,1442.3037,1568.6719,1657.0834,1719.4431,1764.2883,17.065052
98,919.7802,1246.6177,1452.0419,1581.0156,1671.25,1734.8956,1780.6654,17.034796
99,919.7802,1252.0588,1461.6754,1593.2812,1685.3572,1750.3016,1797.0055,17.00454
100,919.7802,1257.3529,1471.2042,1605.4688,1699.4048,1765.6613,1813.3087,16.974281
101,919.7802,1262.5,1480.6283,1617.5781,1713.3928,1780.9745,1829.5748,16.944025
102,919.7802,1267.5,1489.9476,1629.6094,1727.3214,1796.2413,1845.8041,16.913767
103,919.7802,1272.3529,1499.1624,1641.5625,1741.1904,1811.4617,1861.9963,16.88351
104,919.7802,1277.0588,1508.2722,1653.4375,1755,1826.6357,1878.1516,16.853252
105,919.7802,1281.6177,1517.2775,1665.2344,1768.75,1841.7633,1894.2699,16.822996
106,919.7802,1286.0294,1526.178,1676.9531,1782.4404,1856.8446,1910.3512,16.792738
107,919.7802,1290.2941,1534.9739,1688.5938,1796.0714,1871.8794,1926.3955,16.762482
108,919.7802,1294.4117,1543.6649,1700.1562,1809.6428,1886.8678,1942.403,16.732224
109,919.7802,1298.3823,1552.2513,1711.6406,1823.1548,1901.8097,1958.3734,16.701967
110,919.7802,1302.2059,1560.733,1723.0469,1836.6072,1916.7053,1974.3069,16.67171
111,919.7802,1305.8823,1569.11,1734.375,1850,1931.5546,1990.2034,16.641453
112,919.7802,1309.4117,1577.3822,1745.625,1863.3334,1946.3573,2006.0629,16.611195
113,919.7802,1312.7941,1585.5497,1756.7969,1876.6072,1961.1136,2021.8854,16.580938
114,919.7802,1316.0294,1593.6125,1767.8906,1889.8214,1975.8236,2037.671,16.55068
115,919.7802,1319.1177,1601.5707,1778.9062,1902.9762,1990.4872,2053.4197,16.520424
116,919.7802,1322.0588,1609.4241,1789.8438,1916.0714,2005.1044,2069.1313,16.490166
117,919.7802,1324.8529,1617.1727,1800.7031,1929.1072,2019.6752,2084.806,16.45991
118,919.7802,1327.5,1624.8168,1811.4844,1942.0834,2034.1996,2100.4436,16.429651
119,919.7802,1330,1632.3561,1822.1875,1955,2048.6775,2116.0444,16.399395
120,919.7802,1332.3529,1639.7905,1832.8125,1967.8572,2063.1091,2131.6082,16.369137
121,919.7802,1334.5588,1647.1204,1843.3594,1980.6548,2077.4941,2147.135,16.33888
122,919.7802,1336.6177,1654.3456,1853.8281,1993.3928,2091.833,2162.6248,16.308622
123,919.7802,1338.5294,1661.466,1864.2188,2006.0714,2106.1252,2178.0776,16.278366
124,919.7802,1340.2941,1668.4817,1874.5312,2018.6904,2120.3713,2193.4937,16.24811
125,919.7802,1341.9117,1675.3927,1884.7656,2031.25,2134.5708,2208.8726,16.217852
126,919.7802,1343.3823,1682.199,1894.9219,2043.75,2148.7239,2224.2144,16.187595
127,919.7802,1344.7059,1688.9005,1905,2056.1904,2162.8306,2239.5193,16.157337
128,919.7802,1345.8823,1695.4974,1915,2068.5715,2176.8909,2254.7874,16.12708
129,919.7802,1346.9117,1701.9895,1924.9219,2080.8928,2190.9048,2270.0186,16.096823
130,919.7802,1347.7941,1708.377,1934.7656,2093.1548,2204.8723,2285.2126,16.066566
131,919.7802,1348.5294,1714.6597,1944.5312,2105.3572,2218.7935,2300.3696,16.036308
132,919.7802,1349.1177,1720.8376,1954.2188,2117.5,2232.6682,2315.4897,16.006052
133,919.7802,1349.5588,1726.911,1963.8281,2129.5833,2246.4966,2330.573,15.975794
134,919.7802,1349.8529,1732.8796,1973.3594,2141.6072,2260.2783,2345.6191,15.945537
135,919.7802,1350,1738.7434,1982.8125,2153.5715,2274.014,2360.6284,15.91528
136,919.7802,1350,1744.5026,1992.1875,2165.476,2287.7031,2375.6008,15.885023
137,919.7802,1350,1750.1571,2001.4844,2177.3215,2301.3457,2390.5361,15.854766
138,919.7802,1350,1755.7068,2010.7031,2189.1072,2314.942,2405.4343,15.824509
139,919.7802,1350,1761.1519,2019.8438,2200.8333,2328.492,2420.2957,15.794251
140,919.7802,1350,1766.4922,2028.9062,2212.5,2341.9954,2435.12,15.763994
141,919.7802,1350,1771.7278,2037.8906,2224.1072,2355.4524,2449.9075,15.733737
142,919.7802,1350,1776.8586,2046.7969,2235.6548,2368.863,2464.658,15.70348
143,919.7802,1350,1781.8848,2055.625,2247.1428,2382.2273,2479.3716,15.673223
144,919.7802,1350,1786.8063,2064.375,2258.5715,2395.5452,2494.048,15.642965
145,919.7802,1350,1791.623,2073.0469,2269.9404,2408.8167,2508.6875,15.612708
146,919.7802,1350,1796.3351,2081.6406,2281.25,2422.0417,2523.2903,15.582451
147,919.7802,1350,1800.9424,2090.1562,2292.5,2435.2205,2537.8557,15.552194
148,919.7802,1350,1805.4451,2098.5938,2303.6904,2448.3528,2552.3845,15.521936
149,919.7802,1350,1809.8429,2106.9531,2314.8215,2461.4385,2566.8762,15.491679
150,919.7802,1350,1814.1361,2115.2344,2325.8928,2474.478,2581.3308,15.461422
151,919.7802,1350,1818.3246,2123.4375,2336.9048,2487.471,2595.7485,15.431165
152,919.7802,1350,1822.4083,2131.5625,2347.8572,2500.4177,2610.1294,15.4009075
153,919.7802,1350,1826.3875,2139.6094,2358.75,2513.3179,2624.4731,15.37065
154,919.7802,1350,1830.2618,2147.5781,2369.5833,2526.1716,2638.78,15.340393
155,919.7802,1350,1834.0314,2155.4688,2380.3572,2538.979,2653.0498,15.310136
156,919.7802,1350,1837.6963,2163.2812,2391.0715,2551.7402,2667.2827,15.279879
157,919.7802,1350,1841.2566,2171.0156,2401.726,2564.4548,2681.4788,15.249621
158,919.7802,1350,1844.712,2178.6719,2412.3215,2577.123,2695.6377,15.219364
159,919.7802,1350,1848.0629,2186.25,2422.8572,2589.7449,2709.7598,15.189107
160,919.7802,1350,1851.309,2193.75,2433.3333,2602.32,2723.8447,15.158851
161,919.7802,1350,1854.4503,2201.1719,2443.75,2614.849,2737.8928,15.128593
162,919.7802,1350,1857.4869,2208.5156,2454.1072,2627.3318,2751.9038,15.098336
163,919.7802,1350,1860.4188,2215.7812,2464.4048,2639.768,2765.878,15.068079
164,919.7802,1350,1863.2461,2222.9688,2474.6428,2652.1577,2779.8152,15.037822
165,919.7802,1350,1865.9686,2230.0781,2484.8215,2664.5012,2793.7153,15.007565
166,919.7802,1350,1868.5864,2237.1094,2494.9404,2676.798,2807.5786,14.977307
167,919.7802,1350,1871.0995,2244.0625,2505,2689.0488,2821.4048,14.94705
168,919.7802,1350,1873.5078,2250.9375,2515,2701.253,2835.194,14.916793
169,919.7802,1350,1875.8115,2257.7344,2524.9404,2713.4106,2848.9463,14.886536
170,919.7802,1350,1878.0105,2264.4531,2534.8215,2725.522,2862.6616,14.856278
171,919.7802,1350,1880.1047,2271.0938,2544.6428,2737.587,2876.34,14.826021
172,919.7802,1350,1882.0942,2277.6562,2554.4048,2749.6055,2889.9814,14.795764
173,919.7802,1350,1883.979,2284.1406,2564.1072,2761.5776,2903.586,14.765507
174,919.7802,1350,1885.7592,2290.5469,2573.75,2773.5034,2917.1533,14.7352495
175,919.7802,1350,1887.4346,2296.875,2583.3333,2785.3828,2930.6838,14.704992
176,919.7802,1350,1889.0052,2303.125,2592.8572,2797.2158,2944.1775,14.674735
177,919.7802,1350,1890.4712,2309.2969,2602.3215,2809.0024,2957.634,14.644478
178,919.7802,1350,1891.8325,2315.3906,2611.726,2820.7424,2971.0537,14.614221
179,919.7802,1350,1893.089,2321.4062,2621.0715,2832.4363,2984.4363,14.583963
180,919.7802,1350,1894.2408,2327.3438,2630.3572,2844.0835,2997.782,14.553706
181,919.7802,1350,1895.288,2333.2031,2639.5833,2855.6846,3011.0906,14.523449
182,919.7802,1350,1896.2303,2338.9844,2648.75,2867.239,3024.3623,14.493192
183,919.7802,1350,1897.0681,2344.6875,2657.8572,2878.747,3037.597,14.4629345
184,919.7802,1350,1897.801,2350.3125,2666.9048,2890.2087,3050.795,14.432678
185,919.7802,1350,1898.4293,2355.8594,2675.8928,2901.624,3063.9556,14.402421
186,919.7802,1350,1898.9529,2361.3281,2684.8215,2912.993,3077.0796,14.372164
187,919.7802,1350,1899.3717,2366.7188,2693.6904,2924.3154,3090.1663,14.341907
188,919.7802,1350,1899.6859,2372.0312,2702.5,2935.5916,3103.2163,14.311649
189,919.7802,1350,1899.8953,2377.2656,2711.25,2946.8213,3116.2292,14.281392
190,919.7802,1350,1900,2382.4219,2719.9404,2958.0046,3129.205,14.251135
191,919.7802,1350,1900,2387.5,2728.5715,2969.1416,3142.1443,14.220878
192,919.7802,1350,1900,2392.5,2737.1428,2980.232,3155.0461,14.19062
193,919.7802,1350,1900,2397.4219,2745.6548,2991.2761,3167.9114,14.160363
194,919.7802,1350,1900,2402.2656,2754.1072,3002.2737,3180.7393,14.130106
195,919.7802,1350,1900,2407.0312,2762.5,3013.225,3193.5305,14.099849
196,919.7802,1350,1900,2411.7188,2770.8333,3024.13,3206.2847,14.0695915
197,919.7802,1350,1900,2416.3281,2779.1072,3034.9883,3219.002,14.039334
198,919.7802,1350,1900,2420.8594,2787.3215,3045.8005,3231.6821,14.009077
199,919.7802,1350,1900,2425.3125,2795.476,3056.5662,3244.3254,13.97882
200,919.7802,1350,1900,2429.6875,2803.5715,3067.2854,3256.9316,13.948563
201,919.7802,1350,1900,2433.9844,2811.6072,3077.9583,3269.501,13.918305
202,919.7802,1350,1900,2438.2031,2819.5833,3088.5847,3282.0332,13.888048
203,919.7802,1350,1900,2442.3438,2827.5,3099.1648,3294.5286,13.857791
204,919.7802,1350,1900,2446.4062,2835.3572,3109.6985,3306.987,13.827534
205,919.7802,1350,1900,2450.3906,2843.1548,3120.1855,3319.4084,13.7972765
206,919.7802,1350,1900,2454.2969,2850.8928,3130.6265,3331.793,13.767019
207,919.7802,1350,1900,2458.125,2858.5715,3141.021,3344.1404,13.736762
208,919.7802,1350,1900,2461.875,2866.1904,3151.369,3356.451,13.706505
209,919.7802,1350,1900,2465.5469,2873.75,3161.6707,3368.7246,13.676249
210,919.7802,1350,1900,2469.1406,2881.25,3171.9258,3380.9612,13.645991
211,919.7802,1350,1900,2472.6562,2888.6904,3182.1345,3393.161,13.615734
212,919.7802,1350,1900,2476.0938,2896.0715,3192.2969,3405.3235,13.585477
213,919.7802,1350,1900,2479.4531,2903.3928,3202.413,3417.4492,13.55522
214,919.7802,1350,1900,2482.7344,2910.6548,3212.4827,3429.5378,13.524962
215,919.7802,1350,1900,2485.9375,2917.8572,3222.5059,3441.5896,13.494705
216,919.7802,1350,1900,2489.0625,2925,3232.4827,3453.6045,13.464448
217,919.7802,1350,1900,2492.1094,2932.0833,3242.413,3465.5823,13.434191
218,919.7802,1350,1900,2495.0781,2939.1072,3252.2969,3477.5232,13.403934
219,919.7802,1350,1900,2497.9688,2946.0715,3262.1345,3489.427,13.373676
220,919.7802,1350,1900,2500.7812,2952.976,3271.9258,3501.294,13.343419
221,919.7802,1350,1900,2503.5156,2959.8215,3281.6707,3513.1238,13.313162
222,919.7802,1350,1900,2506.1719,2966.6072,3291.369,3524.9167,13.282905
223,919.7802,1350,1900,2508.75,2973.3333,3301.021,3536.6729,13.252647
224,919.7802,1350,1900,2511.25,2980,3310.6265,3548.3918,13.22239
225,919.7802,1350,1900,2513.6719,2986.6072,3320.1855,3560.074,13.192133
226,919.7802,1350,1900,2516.0156,2993.1548,3329.6985,3571.719,13.161876
227,919.7802,1350,1900,2518.2812,2999.6428,3339.1648,3583.3271,13.1316185
228,919.7802,1350,1900,2520.4688,3006.0715,3348.5847,3594.8984,13.101361
229,919.7802,1350,1900,2522.5781,3012.4404,3357.9583,3606.4326,13.071104
230,919.7802,1350,1900,2524.6094,3018.75,3367.2854,3617.9297,13.040847
231,919.7802,1350,1900,2526.5625,3025,3376.5662,3629.3901,13.01059
232,919.7802,1350,1900,2528.4375,3031.1904,3385.8005,3640.8132,12.980332
233,919.7802,1350,1900,2530.2344,3037.3215,3394.9883,3652.1997,12.950076
234,919.7802,1350,1900,2531.9531,3043.3928,3404.13,3663.549,12.919819
235,919.7802,1350,1900,2533.5938,3049.4048,3413.225,3674.8613,12.889562
236,919.7802,1350,1900,2535.1562,3055.3572,3422.2737,3686.1367,12.859304
237,919.7802,1350,1900,2536.6406,3061.25,3431.2761,3697.3752,12.829047
238,919.7802,1350,1900,2538.0469,3067.0833,3440.232,3708.5767,12.79879
239,919.7802,1350,1900,2539.375,3072.8572,3449.1416,3719.7412,12.768533
240,919.7802,1350,1900,2540.625,3078.5715,3458.0046,3730.8687,12.738276
241,919.7802,1350,1900,2541.7969,3084.226,3466.8213,3741.9592,12.708018
242,919.7802,1350,1900,2542.8906,3089.8215,3475.5916,3753.013,12.677761
243,919.7802,1350,1900,2543.9062,3095.3572,3484.3154,3764.0295,12.647504
244,919.7802,1350,1900,2544.8438,3100.8333,3492.993,3775.0093,12.617247
245,919.7802,1350,1900,2545.7031,3106.25,3501.624,3785.952,12.586989
246,919.7802,1350,1900,2546.4844,3111.6072,3510.2087,3796.8577,12.556732
247,919.7802,1350,1900,2547.1875,3116.9048,3518.747,3807.7263,12.526475
248,919.7802,1350,1900,2547.8125,3122.1428,3527.239,3818.558,12.496218
249,919.7802,1350,1900,2548.3594,3127.3215,3535.6846,3829.353,12.4659605
250,919.7802,1350,1900,2548.8281,3132.4404,3544.0835,3840.1108,12.435703
251,919.7802,1350,1900,2549.2188,3137.5,3552.4363,3850.8318,12.405446
252,919.7802,1350,1900,2549.5312,3142.5,3560.7424,3861.5156,12.375189
253,919.7802,1350,1900,2549.7656,3147.4404,3569.0024,3872.1626,12.344932
254,919.7802,1350,1900,2549.9219,3152.3215,3577.2158,3882.7727,12.314674
255,919.7802,1350,1900,2550,3157.1428,3585.3828,3893.3457,12.284417
256,919.7802,1350,1900,2550,3161.9048,3593.5034,3903.8816,12.25416
257,919.7802,1350,1900,2550,3166.6072,3601.5776,3914.3809,12.223903
258,919.7802,1350,1900,2550,3171.25,3609.6055,3924.8428,12.193646
259,919.7802,1350,1900,2550,3175.8333,3617.587,3935.268,12.163389
260,919.7802,1350,1900,2550,3180.3572,3625.522,3945.6562,12.133132
261,919.7802,1350,1900,2550,3184.8215,3633.4106,3956.0073,12.102875
262,919.7802,1350,1900,2550,3189.226,3641.253,3966.3215,12.072618
263,919.7802,1350,1900,2550,3193.5715,3649.0488,3976.5989,12.04236
264,919.7802,1350,1900,2550,3197.8572,3656.798,3986.839,12.012103
265,919.7802,1350,1900,2550,3202.0833,3664.5012,3997.0425,11.981846
266,919.7802,1350,1900,2550,3206.25,3672.1577,4007.209,11.951589
267,919.7802,1350,1900,2550,3210.3572,3679.768,4017.3384,11.921331
268,919.7802,1350,1900,2550,3214.4048,3687.3318,4027.4307,11.891074
269,919.7802,1350,1900,2550,3218.3928,3694.849,4037.486,11.860817
270,919.7802,1350,1900,2550,3222.3215,3702.32,4047.5046,11.83056
271,919.7802,1350,1900,2550,3226.1904,3709.7449,4057.486,11.8003025
272,919.7802,1350,1900,2550,3230,3717.123,4067.4307,11.770045
273,919.7802,1350,1900,2550,3233.75,3724.4548,4077.3384,11.739788
274,919.7802,1350,1900,2550,3237.4404,3731.7402,4087.209,11.709531
275,919.7802,1350,1900,2550,3241.0715,3738.979,4097.0425,11.679274
276,919.7802,1350,1900,2550,3244.6428,3746.1716,4106.8394,11.649016
277,919.7802,1350,1900,2550,3248.1548,3753.3179,4116.599,11.618759
278,919.7802,1350,1900,2550,3251.6072,3760.4177,4126.322,11.588502
279,919.7802,1350,1900,2550,3255,3767.471,4136.0073,11.558245
280,919.7802,1350,1900,2550,3258.3333,3774.478,4145.6562,11.5279875
281,919.7802,1350,1900,2550,3261.6072,3781.4385,4155.268,11.49773
282,919.7802,1350,1900,2550,3264.8215,3788.3528,4164.843,11.467474
283,919.7802,1350,1900,2550,3267.976,3795.2205,4174.381,11.437217
284,919.7802,1350,1900,2550,3271.0715,3802.0417,4183.882,11.40696
285,919.7802,1350,1900,2550,3274.1072,3808.8167,4193.3457,11.376702
286,919.7802,1350,1900,2550,3277.0833,3815.5452,4202.7725,11.346445
287,919.7802,1350,1900,2550,3280,3822.2273,4212.1626,11.316188
288,919.7802,1350,1900,2550,3282.8572,3828.863,4221.5156,11.285931
289,919.7802,1350,1900,2550,3285.6548,3835.4524,4230.832,11.255673
290,919.7802,1350,1900,2550,3288.3928,3841.9954,4240.111,11.225416
291,919.7802,1350,1900,2550,3291.0715,3848.492,4249.353,11.195159
292,919.7802,1350,1900,2550,3293.6904,3854.942,4258.558,11.164902
293,919.7802,1350,1900,2550,3296.25,3861.3457,4267.7266,11.1346445
294,919.7802,1350,1900,2550,3298.75,3867.7031,4276.858,11.104387
295,919.7802,1350,1900,2550,3301.1904,3874.014,4285.952,11.07413
296,919.7802,1350,1900,2550,3303.5715,3880.2783,4295.0093,11.043873
297,919.7802,1350,1900,2550,3305.8928,3886.4966,4304.03,11.013616
298,919.7802,1350,1900,2550,3308.1548,3892.6682,4313.0127,10.983358
299,919.7802,1350,1900,2550,3310.3572,3898.7935,4321.9595,10.953101
300,919.7802,1350,1900,2550,3312.5,3904.8723,4330.8687,10.922844
301,919.7802,1350,1900,2550,3314.5833,3910.9048,4339.741,10.892587
302,919.7802,1350,1900,2550,3316.6072,3916.8909,4348.5767,10.8623295
303,919.7802,1350,1900,2550,3318.5715,3922.8306,4357.375,10.832072
304,919.7802,1350,1900,2550,3320.476,3928.7239,4366.1367,10.801815
305,919.7802,1350,1900,2550,3322.3215,3934.5708,4374.8613,10.771558
306,919.7802,1350,1900,2550,3324.1072,3940.3713,4383.549,10.741301
307,919.7802,1350,1900,2550,3325.8333,3946.1252,4392.1997,10.711044
308,919.7802,1350,1900,2550,3327.5,3951.833,4400.8135,10.680787
309,919.7802,1350,1900,2550,3329.1072,3957.4941,4409.39,10.65053
310,919.7802,1350,1900,2550,3330.6548,3963.1091,4417.9297,10.620273
311,919.7802,1350,1900,2550,3332.1428,3968.6775,4426.4326,10.590015
312,919.7802,1350,1900,2550,3333.5715,3974.1995,4434.8984,10.559758
313,919.7802,1350,1900,2550,3334.9404,3979.6753,4443.327,10.529501
314,919.7802,1350,1900,2550,3336.25,3985.1045,4451.719,10.499244
315,919.7802,1350,1900,2550,3337.5,3990.4873,4460.0737,10.4689865
316,919.7802,1350,1900,2550,3338.6904,3995.8237,4468.392,10.438729
317,919.7802,1350,1900,2550,3339.8215,4001.1138,4476.673,10.408472
318,919.7802,1350,1900,2550,3340.8928,4006.3574,4484.917,10.378215
319,919.7802,1350,1900,2550,3341.9048,4011.5544,4493.124,10.347958
320,919.7802,1350,1900,2550,3342.8572,4016.7053,4501.294,10.3177
321,919.7802,1350,1900,2550,3343.75,4021.8098,4509.427,10.287443
322,919.7802,1350,1900,2550,3344.5833,4026.8677,4517.523,10.257186
323,919.7802,1350,1900,2550,3345.3572,4031.8794,4525.582,10.226929
324,919.7802,1350,1900,2550,3346.0715,4036.8445,4533.6045,10.1966715
325,919.7802,1350,1900,2550,3346.726,4041.7634,4541.59,10.166414
326,919.7802,1350,1900,2550,3347.3215,4046.6357,4549.538,10.136157
327,919.7802,1350,1900,2550,3347.8572,4051.4617,4557.449,10.1059
328,919.7802,1350,1900,2550,3348.3333,4056.2412,4565.323,10.075643
