ClassID,GenType,PosX,PosY,PosZ,Direction,NPCID,Name
71,24,-1383.6198,0,-72.72446,0,0,나무뿌리 수정
72,24,-1426.6116,0,-260.12433,0,0,나무뿌리 수정
73,24,-1441.9531,0,226.6972,0,0,나무뿌리 수정
74,24,-1736.5172,0,37.116783,0,0,나무뿌리 수정
75,24,-1738.3351,0,-322.87888,0,0,나무뿌리 수정
76,24,-1983.71,0,66.15611,0,0,나무뿌리 수정
77,24,-320.33395,0,345.16797,0,0,나무뿌리 수정
78,24,82.060394,0,120.97569,0,0,나무뿌리 수정
79,24,360.7935,0,55.700294,0,0,나무뿌리 수정
80,24,16.272102,0,699.2527,0,0,나무뿌리 수정
81,24,309.31845,0,820.5166,0,0,나무뿌리 수정
82,24,710.20703,0,273.5132,0,0,나무뿌리 수정
83,24,853.2727,0,-34.975266,0,0,나무뿌리 수정
84,24,1067.243,0,264.6704,0,0,나무뿌리 수정
85,24,895.86426,0,-360.20947,0,0,나무뿌리 수정
86,24,925.5143,0,-804.12854,0,0,나무뿌리 수정
87,24,936.9588,0,-1063.6349,0,0,나무뿌리 수정
88,24,867.8737,0.0003,-1290.0908,0,0,나무뿌리 수정
90,7,-326.9953,0.0002708435,-584.53033,0,0,영혼의 정수
91,25,295.43698,0.0003,-199.01343,-141,147398,사제
92,26,230.06767,0.0003,-218.0089,16,147389,사제
94,33,-1242.6703,0.0003,240.20032,-79,0,사제4
95,34,276.04565,0.0003,965.95746,-74,0,사제4after
96,35,100.44623,0.0003,632.2907,0,0,말씀의 성물
97,36,-192.57147,0.0003,788.02216,0,0,말씀의 성물
98,37,-221.08292,0.0003,403.59497,0,0,말씀의 성물
99,38,-376.2142,0.0003,907.5596,0,0,말씀의 성물
100,39,444.76663,0.0003,890.6524,0,0,말씀의 성물
101,40,150.1819,0.0003,1039.9688,0,0,말씀의 성물
102,41,126.75627,0.0003,338.17615,0,0,말씀의 성물
103,42,381.39825,0.0003,464.02417,0,0,말씀의 성물
104,43,753.9304,-1.9366391,-88.16985,0,0,
105,44,786.1846,-0.6935604,-181.80035,0,0,
106,45,705.10925,-0.42214417,210.4976,0,0,
107,46,1027.6404,0.0003,-165.87982,0,0,
108,47,990.3927,0.0003,181.33176,0,0,
109,48,48.646362,0.0003,542.9616,0,0,청아한 로프틀렘
110,49,873,0,40,0,0,
111,50,-140,0.1,-862.37,160,0,독서대
112,51,-136,8.14,-914.51,90,0,먼지 쌓인 책
113,52,-70,0.1,-856,160,0,휘장의 서명
117,54,830.8347,0.0003,-1398.1597,0,0,메이번의 비밀
118,55,906.16046,0.0003,-286.446,0,0,콜리플라이
119,56,930.61035,0.0003,-748.8143,0,0,청아한 로프틀렘
120,48,-51.96176,0.0003,304.6198,0,0,청아한 로프틀렘
121,48,-286.32,0.0003,430.03333,0,0,청아한 로프틀렘
122,48,-270.3811,0.0003,729.96484,0,0,청아한 로프틀렘
123,48,70.588776,0.0003,799.2883,0,0,청아한 로프틀렘
124,48,292.96088,0.0003,683.9076,0,0,청아한 로프틀렘
125,48,328.79504,0.0003,345.81122,0,0,청아한 로프틀렘
126,48,-97.498024,0.0003,980.54755,0,0,청아한 로프틀렘
127,55,705.2957,0.0003,-282.002,0,0,콜리플라이
128,55,641.0522,-4.02942,108.20294,0,0,콜리플라이
129,55,978.8307,0.0003,122.09496,0,0,콜리플라이
130,55,819.1733,0.0003,-72.66522,0,0,콜리플라이
131,55,1063.298,0.0003,-118.74729,0,0,콜리플라이
132,55,919.6846,0.0003,-483.5288,0,0,콜리플라이
133,56,861.0276,0.0003,-1036.9346,0,0,청아한 로프틀렘
134,56,917.47614,0.0003,-895.7983,0,0,청아한 로프틀렘
135,56,902.8201,0.0003,-542.40857,0,0,청아한 로프틀렘
136,53,-1730.9927,0.0003,-54.647842,0,0,어둠의 닻
137,53,-1566.3683,0.0003,-251.1831,0,0,어둠의 닻
138,53,-1610.3894,0,-29.241407,0,0,어둠의 닻
139,53,-1514.7196,0.0003,197.44348,0,0,어둠의 닻
140,53,-1161.4434,0.0002708435,0.801857,0,0,어둠의 닻
141,53,-1244.8439,0.0003,-119.18305,0,0,어둠의 닻
142,53,-1205.9648,0.0003,-306.96356,0,0,어둠의 닻
143,53,-1045.6439,0.0002708435,197.2014,0,0,어둠의 닻
144,53,-1842.8512,0.0003,-260.36353,0,0,어둠의 닻
145,53,-1802.8348,0.0003,204.3086,0,0,어둠의 닻
148,59,-1432.6034,0.0003,-304.95572,0,0,어둠의 닻
149,59,-1265.7076,0.0002708435,-292.88947,0,0,어둠의 닻
150,59,-1358.0159,0.0003,-24.743057,0,0,어둠의 닻
151,59,-1935.9619,0.0003,-24.691483,0,0,어둠의 닻
152,59,-1664.4725,0.0003,214.8404,0,0,어둠의 닻
153,59,-1378.7924,0.0003,260.73087,0,0,어둠의 닻
154,59,-1680.8331,0.0003,-291.8926,0,0,어둠의 닻
155,59,-1032.499,0.0002708435,-287.97946,0,0,어둠의 닻
156,59,-1104.4224,0.0003,3.0104408,0,0,어둠의 닻
161,61,20.889513,0.0002708435,-1032.5632,0,0,필드젠x
162,61,1053.2921,0.0002708435,-275.98315,0,0,필드젠x
164,63,228.81,0.1,-313.9,90,0,보물 상자 LV1
165,64,-1632.259,0,48.67518,0,0,그림자없는 NPC
166,7,365.94354,0.0002708435,-1052.4921,0,0,
167,7,-339.63425,0.0002708435,-1013.1804,0,0,
