ClassID,GenType,PosX,PosY,PosZ,Direction,AnchorRange,Name
50,18,-1518.9231,-4.5073,-1399.2174,0,0,샤울렘 전사
52,18,-1766.6768,57.8125,-643.5371,0,0,샤울렘 전사
54,19,-403.00604,196.73315,1513.1069,0,0,허니멜리
65,18,-1718.368,-4.5073,-1320.6178,0,0,샤울렘 전사
66,18,-693.5684,134.3088,-461.56735,0,0,샤울렘 전사
67,20,-1864.2465,-4.5073,-1447.2103,0,0,나무뿌리 수정
68,20,-1701.5447,57.8125,-629.79016,0,0,나무뿌리 수정
69,20,-840.5555,134.3088,-612.2375,0,0,나무뿌리 수정
70,20,-524.0944,134.3088,-192.47665,0,0,나무뿌리 수정
71,20,-1224.4937,198.8387,1062.3534,0,0,나무뿌리 수정
72,20,-388.7921,196.7332,1559.0311,0,0,나무뿌리 수정
73,20,-576.18164,196.7327,996.75464,0,0,나무뿌리 수정
74,20,451.72418,134.3088,1010.1168,0,0,나무뿌리 수정
75,20,691.4995,24.3135,1578.2678,0,0,나무뿌리 수정
76,20,1591.0912,24.3135,1762.7856,0,0,나무뿌리 수정
77,20,1002.0593,134.3088,953.0031,0,0,나무뿌리 수정
78,20,2287.3005,202.10796,-207.69098,0,0,나무뿌리 수정
79,20,3345.662,210.8136,1020.3773,0,0,나무뿌리 수정
80,20,358.17004,54.1763,-911.3858,0,0,나무뿌리 수정
81,21,-512.59607,134.3088,369.826,0,0,몬젠X
82,21,2085.8667,134.3088,662.6268,0,0,몬젠X
83,21,2014.3105,134.3088,1064.0201,0,0,몬젠X
84,21,2379.178,134.3088,932.3711,0,0,몬젠X
85,21,2233.4424,134.3088,1357.7068,0,0,몬젠X
86,22,182.23999,54.1763,-882.6352,0,0,스피온
87,22,391.5454,54.1763,-897.25586,0,0,스피온
88,22,433.07312,54.176254,-772.89734,0,0,스피온
94,4,893.39813,134.30882,960.05347,0,0,츄파루카
98,22,425.763,54.176254,-614.1015,0,0,스피온
99,4,914.8243,24.313461,1626.5992,0,0,츄파루카
101,4,1166.2632,24.313461,1548.1012,0,0,츄파루카
102,23,2357.72,202.21,-360.43,0,0,보물 상자 LV1
103,22,330.46954,54.176254,-978.13617,0,0,스피온
104,22,520.0876,54.176254,-882.89417,0,0,스피온
105,24,28.586018,134.30882,-426.9399,0,0,샤울렘 전사
106,24,62.19271,120.2776,-543.7301,0,0,샤울렘 전사
107,24,-77.11155,134.30884,-501.08453,0,0,샤울렘 전사
108,24,109.43639,54.176254,-886.91254,0,0,샤울렘 전사
109,24,285.20264,54.176254,-823.5697,0,0,샤울렘 전사
110,24,259.1131,54.176254,-978.1184,0,0,샤울렘 전사
111,25,-608.9388,134.30884,-747.4728,0,0,허니멜리
112,25,-783.8598,134.30882,-765.5087,0,0,허니멜리
113,25,-847.48114,134.30882,-334.60788,0,0,허니멜리
114,25,-443.25418,134.30882,-281.00366,0,0,허니멜리
115,26,1762.4425,24.313461,1575.1677,0,0,츄파루카
116,26,1771.2046,24.313461,1747.3047,0,0,츄파루카
117,26,1589.8015,24.313461,1798.0105,0,0,츄파루카
118,26,1472.8325,24.313461,1855.7238,0,0,츄파루카
119,26,1488.3864,24.313461,1543.3766,0,0,츄파루카
120,26,1700.7242,24.313461,1497.5721,0,0,츄파루카
121,26,1537.104,24.313463,1486.023,0,0,츄파루카
122,26,1648.3966,24.313461,1578.1439,0,0,츄파루카
123,26,1591.8575,24.313461,1913.4758,0,0,츄파루카
124,26,1413.1979,24.313461,1720.6359,0,0,츄파루카
