ClassID,GenType,PosX,PosZ,Direction,PosY,Name
169,103,946.37317,1655.917,0,-239.49048,주황 그루머
170,103,896.70856,1500.615,0,-239.49048,주황 그루머
171,103,1095.5085,1432.8218,0,-239.49048,주황 그루머
172,103,1236.6318,1676.8568,0,-239.49048,주황 그루머
173,103,1120.6646,1809.3367,0,-239.49048,주황 그루머
174,103,839.588,2084.75,0,-241.77722,주황 그루머
175,103,-1261.4723,1405.4896,0,-88.462921,주황 그루머
176,103,-1069.1653,1413.3627,0,-88.462921,주황 그루머
177,106,194.82397,-708.74274,0,-70.57795,붉은 콜리멘
178,106,356.8063,-590.42834,0,-69.655273,붉은 콜리멘
179,106,520.86456,-655.7172,0,-69.655273,붉은 콜리멘
180,106,634.4481,-526.6501,0,-69.655273,붉은 콜리멘
181,106,695.5663,-676.32947,0,-69.655273,붉은 콜리멘
182,106,950.4656,-465.73898,0,-69.655273,붉은 콜리멘
183,106,910.2051,-696.4545,0,-69.655273,붉은 콜리멘
184,106,1310.6213,-529.10785,0,-133.90417,붉은 콜리멘
185,106,1386.1466,-382.2638,0,-133.79539,붉은 콜리멘
186,106,1534.5355,-501.9488,0,-132.99908,붉은 콜리멘
187,106,1543.3784,-301.60077,0,-132.90417,붉은 콜리멘
188,106,1670.0371,-410.72726,0,-132.90419,붉은 콜리멘
189,106,1098.0392,-578.0446,0,-93.828781,붉은 콜리멘
190,106,812.81506,-572.37445,0,-69.655273,붉은 콜리멘
191,106,724.8484,-382.6102,0,-69.655273,붉은 콜리멘
192,106,468.73193,-520.35187,0,-69.655273,붉은 콜리멘
193,100,-24.557966,130.03763,0,0,노란 리프넛
194,100,-27.67885,431.83417,0,-4.8782153,노란 리프넛
195,100,194.41917,255.29236,0,0,노란 리프넛
196,100,-211.72119,-85.62508,0,0,노란 리프넛
197,100,363.81305,-111.17772,0,0,노란 리프넛
198,100,-1081.4338,175.80989,0,2.070988,노란 리프넛
199,100,-1120.576,314.7789,0,0,노란 리프넛
200,100,-1252.3889,83.9608,0,3.051757,노란 리프넛
201,100,-973.3329,201.92754,0,0,노란 리프넛
202,103,1073.528,-1030.5309,0,-133.90417,주황 그루머
203,103,1008.2152,-837.3148,0,-83.044998,주황 그루머
204,103,1193.6184,-902.3627,0,-133.90417,주황 그루머
205,103,1229.1973,-1275.0187,0,-133.90417,주황 그루머
206,103,1392.6666,-952.8043,0,-133.90417,주황 그루머
207,103,1251.9,-1078.753,0,-133.90417,주황 그루머
208,103,1416.1763,-1290.8779,0,-133.90417,주황 그루머
209,103,1499.7167,-1117.5305,0,-133.90417,주황 그루머
210,103,1563.7203,-1231.9927,0,-133.90414,주황 그루머
211,103,1372.3627,-1144.4353,0,-133.90417,주황 그루머
212,111,-1222.7054,-1003.1465,0,-108.63557,노란 카로
213,111,-1365.1204,-727.80597,0,-104.35318,노란 카로
214,111,-975.9346,-601.9339,0,-104.36211,노란 카로
215,111,-1012.8274,-435.46295,0,-104.73486,노란 카로
216,111,-1240.4294,-1258.5214,0,-112.93499,노란 카로
217,111,-1083.6848,-1253.2654,0,-113.01706,노란 카로
218,111,-1255.4674,-1110.3544,0,-112.36688,노란 카로
219,111,-1105.3248,-1095.2535,0,-112.41407,노란 카로
220,111,-793.35065,-591.87897,0,-104.79602,노란 카로
221,111,437.4106,-594.1028,0,-69.655273,노란 카로
222,111,774.57135,-544.8165,0,-69.655273,노란 카로
223,111,657.5973,-680.02386,0,-69.655273,노란 카로
224,111,627.9277,-544.9095,0,-69.655273,노란 카로
225,111,1095.406,-932.2368,0,-127.0463,노란 카로
226,111,1295.3236,-1105.8518,0,-133.90417,노란 카로
227,111,1385.2839,-1042.2844,0,-133.90417,노란 카로
228,111,1205.1974,-48.913033,0,1.424808,노란 카로
229,111,932.912,97.4809,0,0.057947773,노란 카로
230,111,885.58185,-143.45999,0,0.2978155,노란 카로
231,111,1098.3148,-59.421867,0,1.45663,노란 카로
232,111,222.49774,936.91406,0,-88.749847,노란 카로
233,111,239.14029,813.62885,0,-88.749847,노란 카로
234,111,227.35887,712.3962,0,-88.749847,노란 카로
235,111,346.80957,729.2211,0,-88.749847,노란 카로
236,111,-933.7968,1541.8258,0,-88.462921,노란 카로
237,111,-1253.6085,1524.065,0,-88.462921,노란 카로
238,111,-1148.9625,1334.0502,0,-88.462921,노란 카로
239,111,-996.62823,1397.5056,0,-88.462921,노란 카로
240,111,734.8689,1905.49,0,-239.49048,노란 카로
241,111,977.1768,1894.6581,0,-239.49048,노란 카로
242,111,1080.8951,1636.9731,0,-239.49048,노란 카로
243,111,911.62213,1732.6772,0,-239.49048,노란 카로
244,100,994.50287,-50.578392,0,0.03337267,노란 리프넛
245,100,617.92035,143.50075,0,-0.3543309,노란 리프넛
246,1000,1325.44,475.3,0,115.27,보물 상자 LV1
247,1001,-908.94,-558.34,0,-104.66,키퀘용 나무뿌리 수정1
248,1001,1412.98,-1108.24,0,-133.90,키퀘용 나무뿌리 수정1
249,1001,-116.26,38.38,0,-1.61,키퀘용 나무뿌리 수정1
250,1001,251.3,60.4,0,0.00,키퀘용 나무뿌리 수정1
251,1001,-954.57,77.12,0,0.00,키퀘용 나무뿌리 수정1
252,1001,-1070.34,1384.18,0,-88.46,키퀘용 나무뿌리 수정1
253,1001,208.56653,853.1106,0,-88.75,키퀘용 나무뿌리 수정1
254,1002,-1195.3948,-1110.2013,0,-112.43932,
255,1003,901.5242,-237.89375,0,0.022290489,
256,1004,-1076.0537,-1533.4612,0,-113.3986,
257,1005,227.2214,266.8053,0,3.0517578e-05,
258,1005,205.16988,-160.19759,0,3.0517578e-05,
259,1005,83.37079,-151.15474,0,-0.016800277,
260,1005,-103.44519,-78.78058,0,-0.1565882,
261,1005,-222.79012,46.936424,0,-8.0007128e-05,
262,1005,-315.23215,194.12488,0,-16.403688,
263,1005,-3.2415352,265.25583,0,4.8189679e-05,
264,1005,144.18887,68.32555,0,3.0517578e-05,
265,1005,388.68158,166.01431,0,3.0517578e-05,
266,1005,328.70844,-37.92524,0,3.0517578e-05,
267,1005,611.9068,36.184834,0,-0.82351995,
268,1005,752.83795,169.41841,0,3.0517578e-05,
269,1005,788.9637,249.04674,0,3.0517578e-05,
270,1006,-1188.5088,-1542.5983,0,-113.39951,
