ClassID,contents_num,reward_id,ClassName,season_idx,RankType,start_date,end_date,Interval,Desc,dungeonType
34,1,1,34,20220108,All,2022-01-08 06:00:00,2022-01-14 23:59:59,Week,주간,TOSHero_Straight
35,1,1,35,20220115,All,2022-01-15 06:00:00,2022-01-21 23:59:59,Week,주간,TOSHero_Straight
36,1,1,36,20220122,All,2022-01-22 06:00:00,2022-01-28 23:59:59,Week,주간,TOSHero_Straight
37,1,1,37,20220129,All,2022-01-29 06:00:00,2022-02-04 23:59:59,Week,주간,TOSHero_Straight
38,1,1,38,20220205,All,2022-02-05 06:00:00,2022-02-11 23:59:59,Week,주간,TOSHero_Straight
39,1,1,39,20220212,All,2022-02-12 06:00:00,2022-02-18 23:59:59,Week,주간,TOSHero_Straight
40,1,1,40,20220219,All,2022-02-19 06:00:00,2022-02-25 23:59:59,Week,주간,TOSHero_Straight
41,1,1,41,20220226,All,2022-02-26 06:00:00,2022-03-04 23:59:59,Week,주간,TOSHero_Straight
42,1,1,42,20220305,All,2022-03-05 06:00:00,2022-03-11 23:59:59,Week,주간,TOSHero_Straight
43,1,1,43,20220312,All,2022-03-12 06:00:00,2022-03-18 23:59:59,Week,주간,TOSHero_Straight
44,1,1,44,20220319,All,2022-03-19 06:00:00,2022-03-25 23:59:59,Week,주간,TOSHero_Straight
45,1,1,45,20220326,All,2022-03-26 06:00:00,2022-04-01 23:59:59,Week,주간,TOSHero_Straight
46,1,1,46,20220402,All,2022-04-02 06:00:00,2022-04-08 23:59:59,Week,주간,TOSHero_Straight
47,1,1,47,20220409,All,2022-04-09 06:00:00,2022-04-15 23:59:59,Week,주간,TOSHero_Straight
48,1,1,48,20220416,All,2022-04-16 06:00:00,2022-04-22 23:59:59,Week,주간,TOSHero_Straight
49,1,1,49,20220423,All,2022-04-23 06:00:00,2022-04-29 23:59:59,Week,주간,TOSHero_Straight
50,1,1,50,20220430,All,2022-04-30 06:00:00,2022-05-06 23:59:59,Week,주간,TOSHero_Straight
51,1,1,51,20220507,All,2022-05-07 06:00:00,2022-05-13 23:59:59,Week,주간,TOSHero_Straight
52,1,1,52,20220514,All,2022-05-14 06:00:00,2022-05-20 23:59:59,Week,주간,TOSHero_Straight
53,1,1,53,20220521,All,2022-05-21 06:00:00,2022-05-27 23:59:59,Week,주간,TOSHero_Straight
54,1,1,54,20220528,All,2022-05-28 06:00:00,2022-06-03 23:59:59,Week,주간,TOSHero_Straight
55,1,1,55,20220604,All,2022-06-04 06:00:00,2022-06-10 23:59:59,Week,주간,TOSHero_Straight
56,1,1,56,20220611,All,2022-06-11 06:00:00,2022-06-17 23:59:59,Week,주간,TOSHero_Straight
57,1,1,57,20220618,All,2022-06-18 06:00:00,2022-06-24 23:59:59,Week,주간,TOSHero_Straight
58,1,1,58,20220625,All,2022-06-25 06:00:00,2022-07-01 23:59:59,Week,주간,TOSHero_Straight
59,1,1,59,20220702,All,2022-07-02 06:00:00,2022-07-08 23:59:59,Week,주간,TOSHero_Straight
60,1,1,60,20220709,All,2022-07-09 06:00:00,2022-07-15 23:59:59,Week,주간,TOSHero_Straight
61,1,1,61,20220716,All,2022-07-16 06:00:00,2022-07-22 23:59:59,Week,주간,TOSHero_Straight
62,1,1,62,20220723,All,2022-07-23 06:00:00,2022-07-29 23:59:59,Week,주간,TOSHero_Straight
63,1,1,63,20220730,All,2022-07-30 06:00:00,2022-08-05 23:59:59,Week,주간,TOSHero_Straight
64,1,1,64,20220806,All,2022-08-06 06:00:00,2022-08-12 23:59:59,Week,주간,TOSHero_Straight
65,1,1,65,20220813,All,2022-08-13 06:00:00,2022-08-19 23:59:59,Week,주간,TOSHero_Straight
66,1,1,66,20220820,All,2022-08-20 06:00:00,2022-08-26 23:59:59,Week,주간,TOSHero_Straight
67,1,1,67,20220827,All,2022-08-27 06:00:00,2022-09-02 23:59:59,Week,주간,TOSHero_Straight
68,1,1,68,20220903,All,2022-09-03 06:00:00,2022-09-09 23:59:59,Week,주간,TOSHero_Straight
69,1,1,69,20220910,All,2022-09-10 06:00:00,2022-09-16 23:59:59,Week,주간,TOSHero_Straight
70,1,1,70,20220917,All,2022-09-17 06:00:00,2022-09-23 23:59:59,Week,주간,TOSHero_Straight
71,1,1,71,20220924,All,2022-09-24 06:00:00,2022-09-30 23:59:59,Week,주간,TOSHero_Straight
72,1,1,72,20221001,All,2022-10-01 06:00:00,2022-10-07 23:59:59,Week,주간,TOSHero_Straight
73,1,1,73,20221008,All,2022-10-08 06:00:00,2022-10-14 23:59:59,Week,주간,TOSHero_Straight
74,1,1,74,20221015,All,2022-10-15 06:00:00,2022-10-21 23:59:59,Week,주간,TOSHero_Straight
75,1,1,75,20221022,All,2022-10-22 06:00:00,2022-10-28 23:59:59,Week,주간,TOSHero_Straight
76,1,1,76,20221029,All,2022-10-29 06:00:00,2022-11-04 23:59:59,Week,주간,TOSHero_Straight
77,1,1,77,20221105,All,2022-11-05 06:00:00,2022-11-11 23:59:59,Week,주간,TOSHero_Straight
78,1,1,78,20221112,All,2022-11-12 06:00:00,2022-11-18 23:59:59,Week,주간,TOSHero_Straight
79,1,1,79,20221119,All,2022-11-19 06:00:00,2022-11-25 23:59:59,Week,주간,TOSHero_Straight
80,1,1,80,20221126,All,2022-11-26 06:00:00,2022-12-02 23:59:59,Week,주간,TOSHero_Straight
81,1,1,81,20221203,All,2022-12-03 06:00:00,2022-12-09 23:59:59,Week,주간,TOSHero_Straight
82,1,1,82,20221210,All,2022-12-10 06:00:00,2022-12-16 23:59:59,Week,주간,TOSHero_Straight
83,1,1,83,20221217,All,2022-12-17 06:00:00,2022-12-23 23:59:59,Week,주간,TOSHero_Straight
84,1,1,84,20221224,All,2022-12-24 06:00:00,2022-12-30 23:59:59,Week,주간,TOSHero_Straight
85,1,1,85,20221231,All,2022-12-31 06:00:00,2023-01-06 23:59:59,Week,주간,TOSHero_Straight
